Index,Word List,N_Ltr,N_PG,NMorph,NSyll,POS,Occurrences,Freq_SUBTLEXUS,BigramF_Avg_C_Log,OLD20,BiphonP_Un,PLD20,Sem_N_D,Phonographic_N,PG_Prob_Mean,PG_Prob_Min,GP_Prob_Mean,GP_Prob_Min,GP_Freq_Mean,GP_Freq_Min,P_Freq_Mean,P_Freq_Min,G_Freq_Mean,G_Freq_Min,PG1,PG2,PG3,PG4,PG5,PG6,PG7,PG8,PG9,PG10,PG11,PG12,PG13,PG14,PG15,OR_Prob_Mean,OR_Prob_Min,OR_Freq_Mean,OR_Freq_Min,Onset1,Rime1,Onset2,Rime2,Onset3,Rime3,Onset4,Rime4,Onset5,Rime5,Onset6,Rime6
781,bled,4,4,1,1,VB,1,2.305351369,1,1.6,1,1.35,0.33623394,4,0.887325,0.7706,0.8171,0.2756,2.991075,2.945,3.045625,2.9694,3.131675,2.9694,b+b,l+l,ɛ+e,d+d,,,,,,,,,,,,0.52805,0.0561,1.62105,1.2553,bl+bl,ɛd+ed,,,,,,,,,,
9156,women,5,5,1,2,NN,1,3.999087023,1,1.85,1,2,0.6798414,0,0.59486,0.0007,0.64734,0.0009,2.31318,0.301,3.01952,2.6212,2.99214,2.5403,w+w,ɪ+o,m+m,ə+e,n+n,,,,,,,,,,,0.7025,0.0008,1.916125,0.301,w+w,ɪ+o,m+m,ən+en,,,,,,,,
1103,bunny,5,4,1,2,NN,1,2.976349979,1,1.75,1,1.3,0.56702721,7,0.491675,0.0542,0.769075,0.1238,2.4606,1.8976,3.03835,2.9694,2.691475,2.0294,b+b,ə+u,n+nn,i+y,,,,,,,,,,,,0.768475,0.1214,2.437775,1.9294,b+b,ə+u,n+nn,i+y,,,,,,,,
3747,harp,4,4,1,1,NN|VB,1,2.130333768,1,1.6,1,1.5,0.56116766,5,0.85355,0.4466,0.79695,0.1878,2.785475,2.4548,2.8764,2.4594,2.966825,2.4548,h+h,ɑ+a,ɹ+r,p+p,,,,,,,,,,,,0.875,0.75,1.6578,0.6021,h+h,ɑɹp+arp,,,,,,,,,,
6774,salacious,9,7,1,3,JJ,1,1.041392685,1,2.95,1,2.65,0.23723251,1,0.489028571428571,0.016,0.574471428571429,0.164,2.4571,1.5051,3.03122857142857,2.673,2.80487142857143,1.5051,s+s,ə+a,l+l,eɪ+a,ʃ+ci,ə+ou,s+s,,,,,,,,,0.754383333333333,0.2042,2.43171666666667,1.5051,s+s,ə+a,l+l,eɪ+a,ʃ+ci,əs+ous,,,,,,
8760,utterly,7,6,2,3,RB,1,2.397940009,1,2.75,1,2.35,0.55031258,0,0.696583333333333,0.1212,0.82115,0.3768,2.71483333333333,1.9956,2.94763333333333,2.0334,2.82595,2.2175,ʌ+u,t+tt,ɚ+e,ɹ+r,l+l,i+y,,,,,,,,,,0.8603,0.3584,2.62826,2.2718,,ʌ+u,t+tt,ɚɹ+er,l+l,i+y,,,,,,
381,asleep,6,5,1,2,RB|JJ,1,3.405175546,1,2.45,1,2.05,0.56205481,0,0.73566,0.2754,0.81282,0.4608,2.62944,2.1761,2.80284,2.4594,2.7351,2.2504,ə+a,s+s,l+l,i+ee,p+p,,,,,,,,,,,0.733733333333333,0.3441,1.73083333333333,1.1139,,ə+a,sl+sl,ip+eep,,,,,,,,
5375,norman,6,6,1,2,NN,1,2.935003151,1,1.9,1,1.75,0.64622152,1,0.724133333333333,0.1429,0.7287,0.1828,2.7312,2.382,2.94406666666667,2.4456,2.97428333333333,2.382,n+n,ɔ+o,ɹ+r,m+m,ə+a,n+n,,,,,,,,,,0.809975,0.5862,2.322575,1.9345,n+n,ɔɹ+or,m+m,ən+an,,,,,,,,
3274,furry,5,4,2,2,JJ,1,2.089905111,1,1.75,1,1.7,0.41520345,0,0.4627,0.0181,0.776675,0.1542,2.331175,1.3617,3.0642,2.8299,2.53885,1.3617,f+f,ɚ+u,ɹ+rr,i+y,,,,,,,,,,,,0.984166666666667,0.9525,2.23543333333333,1.1139,f+f,ɚɹ+urr,,i+y,,,,,,,,
2022,curd,4,4,1,1,NN,1,1.361727836,1,1.5,1,1.1,0.39988747,6,0.681475,0.0806,0.76955,0.1542,2.897325,2.2095,3.212375,3.0715,3.108225,2.9912,k+c,ɚ+u,ɹ+r,d+d,,,,,,,,,,,,0.9549,0.9098,1.78325,0.699,k+c,ɚɹd+urd,,,,,,,,,,
